Date,Close,Returns
11/17/2020,"11,899.34",97.74
11/16/2020,"11,924.13",24.79
11/13/2020,"11,829.29",-94.84
11/12/2020,"11,709.59",-119.7
11/11/2020,"11,786.43",76.84
11/10/2020,"11,553.86",-232.57
11/9/2020,"11,713.78",159.92
11/6/2020,"11,895.23",181.45
11/5/2020,"11,890.93",-4.3
11/4/2020,"11,590.78",-300.15
11/3/2020,"11,160.57",-430.21
11/2/2020,"10,957.61",-202.96
10/30/2020,"10,911.59",-46.02
10/29/2020,"11,185.59",274
10/28/2020,"11,004.87",-180.72
10/27/2020,"11,431.35",426.48
10/26/2020,"11,358.94",-72.41
10/23/2020,"11,548.28",189.34
10/22/2020,"11,506.01",-42.27
10/21/2020,"11,484.69",-21.32
10/20/2020,"11,516.49",31.8
10/19/2020,"11,478.88",-37.61
10/16/2020,"11,671.56",192.68
10/15/2020,"11,713.87",42.31
10/14/2020,"11,768.73",54.86
10/13/2020,"11,863.90",95.17
10/12/2020,"11,876.26",12.36
