Date,Open,High,Low,Close,Adj Close,Volume
1/29/2018,73.879997,74.230003,72.709999,72.809998,69.646683,1304500
1/30/2018,72.599998,73.529999,71.089996,71.769997,68.651855,1728800
1/31/2018,72.519997,72.519997,70.589996,71.290001,68.192719,2009000
2/1/2018,71,72.199997,71,71.540001,68.431847,1176800
2/2/2018,71.150002,71.550003,67.410004,68.5,65.523926,3955500
2/5/2018,67.900002,69.410004,66.790001,68.050003,65.093491,2036800
2/6/2018,66.599998,68.93,65.160004,68.440002,65.466545,1357800
2/7/2018,68.110001,69.419998,68.07,69.019997,66.021339,1112200
2/8/2018,69.279999,69.279999,66.449997,66.470001,63.582142,1196300
2/9/2018,67,67.900002,65.339996,66.660004,63.763889,1092400
2/12/2018,68.209999,71.071999,68.18,70.809998,67.733574,2256000
2/13/2018,70.43,70.949997,69.989998,70.809998,67.733574,1128100
2/14/2018,70.379997,71.709999,70.260002,71.620003,68.508385,1014000
2/15/2018,68.480003,70.550003,68.110001,70.529999,67.465736,1227700
2/16/2018,70.220001,70.915001,69.839996,70.25,67.197899,1038900
2/20/2018,69.82,70.269997,68.521004,69.059998,66.059608,2594000
2/21/2018,68.910004,70.440002,68.529999,69.589996,66.566566,900500
2/22/2018,69.720001,70.480003,69.379997,69.839996,66.805717,792500
2/23/2018,70.290001,70.290001,69.470001,70,66.958763,925800
2/26/2018,70.099998,70.639999,69.489998,69.669998,66.643105,555500
2/27/2018,69.620003,70.080002,68.760002,69.25,66.241348,810500
2/28/2018,69.43,69.889999,68.669998,68.68,65.838715,2819600
3/1/2018,68.800003,68.989998,67.349998,67.639999,64.841743,1295600
3/2/2018,67.559998,68.629997,67.339996,68.480003,65.647003,974700
3/5/2018,68.269997,69.110001,68.040001,69.029999,66.17424,1361000
3/6/2018,69.379997,69.879997,68.414001,69.839996,66.950729,715300
3/7/2018,69.239998,70.660004,69.239998,70.650002,67.727219,1174500
3/8/2018,70.919998,70.919998,68.556999,69.989998,67.094536,1270800
3/9/2018,70.169998,71.589996,70.169998,71.480003,68.522896,651700
3/12/2018,71.699997,71.699997,70.580002,70.790001,67.861443,781900
3/13/2018,70.949997,71.690002,70.059998,70.230003,67.324608,1247300
3/14/2018,70.620003,70.800003,69.489998,69.559998,66.682327,883700
3/15/2018,69.800003,70.220001,69.339996,69.459999,66.586456,925800
3/16/2018,69.540001,70.099998,69.379997,69.540001,66.663147,2072000
3/19/2018,69.18,69.660004,68.480003,68.589996,65.752449,1526900
3/20/2018,68.589996,70.989998,67.580002,67.68,64.880096,1166500
3/21/2018,67.800003,68.160004,66.870003,66.889999,64.122772,902800
3/22/2018,66.199997,67.230003,65.260002,65.269997,62.56979,1263700
3/23/2018,65.300003,65.760002,63.939999,63.970001,61.323586,1084600
3/26/2018,64.410004,65.099998,63.016998,64.120003,61.467373,1037700
3/27/2018,64.139999,64.790001,62.639999,62.84,60.240322,1757000
3/28/2018,62.84,63.200001,62.080002,62.740002,60.144466,972200
3/29/2018,62.860001,64.019997,62.610001,63.34,60.719646,1506500
4/2/2018,63.32,64.540001,62.02,62.41,59.828117,1231900
4/3/2018,62.98,63.540001,62.188,63.32,60.700462,1293300
4/4/2018,62.470001,63.91,62.294998,63.73,61.093494,784700
4/5/2018,64.150002,64.720001,63.25,64.290001,61.630344,1534500
4/6/2018,63.759998,64.220001,63.209999,63.490002,60.863438,920200
4/9/2018,63.790001,64.330002,63.490002,63.560001,60.930546,1051200
4/10/2018,64.32,65.214996,63.889999,64.760002,62.080902,1260400
4/11/2018,64.300003,64.790001,63.799999,64.07,61.419441,941200
4/12/2018,64.290001,64.790001,63.637001,64.449997,61.783722,611400
4/13/2018,64.650002,64.650002,64.050003,64.290001,61.630344,844000
4/16/2018,64.620003,65.404999,64.349998,65.139999,62.445171,861300
4/17/2018,65.519997,66.040001,65.169998,65.639999,62.924492,774200
4/18/2018,65.849998,66.400002,65.235001,65.959999,63.231255,737800
4/19/2018,65.900002,66.019997,64.032997,65.309998,62.608135,601900
4/20/2018,65.290001,66.25,64.800003,65.209999,62.512272,568700
4/23/2018,64.690002,65.669998,64.189003,64.779999,62.10006,1385000
4/24/2018,65.160004,65.580002,64.279999,64.739998,62.061722,935900
4/25/2018,64.480003,64.830002,64.050003,64.07,61.419441,1043000
4/26/2018,64.849998,66.300003,63.98,64.699997,62.023376,1385900
4/27/2018,64.540001,65.82,64.540001,65.669998,62.953251,1528300
4/30/2018,65.610001,66.32,65.129997,65.239998,62.541035,1013000
5/1/2018,64.970001,65.449997,64.510002,65.25,62.550625,1472600
5/2/2018,65.349998,65.410004,64.099998,64.379997,61.716614,1846600
5/3/2018,64.32,64.605003,63.77,64.120003,61.467373,755500
5/4/2018,63.869999,65.150002,63.82,64.660004,61.985043,804200
5/7/2018,64.889999,65.129997,64.529999,65,62.310963,421700
5/8/2018,64.879997,65.150002,64.160004,64.889999,62.205517,806900
5/9/2018,64.93,65,64.32,64.699997,62.023376,539900
5/10/2018,64.970001,65.294998,64.790001,64.910004,62.224686,674400
5/11/2018,65.230003,65.260002,64.370003,64.470001,61.802891,909900
5/14/2018,64.459999,64.790001,63.810001,64.190002,61.534477,884100
5/15/2018,63.82,64.120003,63.740002,63.990002,61.342751,708600
5/16/2018,64.230003,65.019997,64.169998,64.589996,61.917919,806700
5/17/2018,64.440002,65.849998,64.010002,64.209999,61.55365,622900
5/18/2018,64.220001,64.5,63.98,63.990002,61.342751,1156000
5/21/2018,63.889999,64.169998,63.32,63.43,60.805908,695300
5/22/2018,62.610001,63.779999,62.57,63.259998,60.642948,759300
5/23/2018,63.310001,63.59,62.910999,63.59,60.959297,464600
5/24/2018,63.650002,64.160004,63.075001,64.050003,61.40028,718600
5/25/2018,64,64.269997,63.720001,63.759998,61.122265,513000
5/29/2018,63.32,63.889999,63.029999,63.810001,61.170193,1367700
5/30/2018,64.260002,65.410004,64.260002,64.849998,62.167171,1329600
5/31/2018,64.889999,64.949997,64.287003,64.349998,61.687855,1106500
6/1/2018,64.760002,65.07,64.269997,64.610001,61.937088,1851800
6/4/2018,64.790001,65.25,64.540001,65.040001,62.349316,1253000
6/5/2018,65.285004,65.5,64.919998,64.980003,62.291794,1260600
6/6/2018,64.970001,65.209999,64.699997,65.110001,62.416412,758100
6/7/2018,65.080002,65.139999,64.330002,64.660004,61.985043,615200
6/8/2018,64.660004,65.269997,64.540001,64.989998,62.301369,2098500
6/11/2018,65.050003,65.25,64.610001,65.089996,62.397243,1969900
6/12/2018,65.099998,65.519997,65.072998,65.349998,62.646488,1016700
6/13/2018,65.419998,65.559998,65.089996,65.199997,62.502693,920000
6/14/2018,65.489998,66.129997,64.332001,65.860001,63.135384,1385800
6/15/2018,65.769997,66.400002,65.769997,66.150002,63.413395,1970000
6/18/2018,65.529999,65.843002,64.150002,64.290001,61.770412,1200600
6/19/2018,63.810001,64.18,63.73,64.150002,61.635899,1425400
6/20/2018,64.43,66.209999,64.150002,66.080002,63.490246,2018800
6/21/2018,66.309998,66.389999,64.970001,65.870003,63.288498,1648900
6/22/2018,66.019997,66.605003,65.699997,66.080002,63.490246,2850000
6/25/2018,66.18,66.18,65.099998,65.360001,62.798481,1222500
6/26/2018,65.330002,65.639999,64.849998,65.190002,62.635151,1063400
6/27/2018,65.379997,65.699997,64.440002,64.5,61.972179,909900
6/28/2018,64.220001,65.754997,63.400002,65.540001,62.971424,1573800
6/29/2018,65.699997,66.019997,65.010002,65.050003,62.500629,1266000
7/2/2018,64.720001,65.370003,64.690002,65.239998,62.683182,1066600
7/3/2018,65.410004,65.879997,65.080002,65.220001,62.663963,522700
7/5/2018,65.730003,66.080002,65.029999,66,63.413387,808000
7/6/2018,66.089996,66.709999,63.16,66.440002,63.836151,824700
7/9/2018,66.599998,67.040001,66.510002,66.730003,64.114784,1121600
7/10/2018,66.919998,67.084999,64.271004,66.699997,64.085953,649400
7/11/2018,66.410004,67.139999,65.650002,67.059998,64.431847,2008100
7/12/2018,67.449997,67.730003,66.959999,67.25,64.614403,1278400
7/13/2018,67.419998,67.620003,67.190002,67.339996,64.700859,516200
7/16/2018,67.32,67.410004,66.279999,66.379997,63.7785,466600
7/17/2018,66.279999,67.050003,64.849998,66.690002,64.076355,647400
7/18/2018,66.559998,66.800003,66.330002,66.68,64.066734,829700
7/19/2018,66.629997,67.010002,66.258003,66.889999,64.268517,949800
7/20/2018,66.959999,67.970001,66.68,67.07,64.441467,1922800
7/23/2018,67.050003,67.25,65.68,65.720001,63.144371,1012800
7/24/2018,66.239998,66.239998,64.239998,64.459999,61.933735,1118500
7/25/2018,64.449997,64.778,63.779999,64.129997,61.616684,705900
7/26/2018,63.849998,64.239998,63.23,63.970001,61.462948,733900
7/27/2018,63.959999,64.255997,62.790001,63.369999,60.886463,835700
7/30/2018,63.43,63.880001,62.484001,62.610001,60.156246,1292100
7/31/2018,62.66,63.279999,62.27,62.450001,60.002522,1176900
8/1/2018,62.709999,62.814999,61.599998,61.650002,59.233875,675300
8/2/2018,61.34,62.400002,61.18,62.200001,59.762325,1072200
8/3/2018,62.349998,62.830002,62.27,62.73,60.271542,578200
8/6/2018,62.73,63.470001,62.220001,63.439999,60.953724,521200
8/7/2018,62.73,63.740002,62.73,63.619999,61.126663,799400
8/8/2018,63.790001,64.32,63.262001,64.199997,61.683933,716800
