Date	Close
1/27/2021	"30,303.17"
1/26/2021	"30,937.04"
1/25/2021	"30,960.00"
1/22/2021	"30,996.98"
1/21/2021	"31,176.01"
1/20/2021	"31,188.38"
1/19/2021	"30,930.52"
1/15/2021	"30,814.26"
1/14/2021	"30,991.52"
1/13/2021	"31,060.47"
1/12/2021	"31,068.69"
1/11/2021	"31,008.69"
1/8/2021	"31,097.97"
1/7/2021	"31,041.13"
1/6/2021	"30,829.40"
1/5/2021	"30,391.60"
1/4/2021	"30,223.89"
12/31/2020	"30,606.48"
12/30/2020	"30,409.56"
12/29/2020	"30,335.67"
12/28/2020	"30,403.97"
12/24/2020	"30,199.87"
12/23/2020	"30,129.83"
12/22/2020	"30,015.51"
12/21/2020	"30,216.45"
12/18/2020	"30,179.05"
12/17/2020	"30,303.37"
12/16/2020	"30,154.54"
12/15/2020	"30,199.31"
12/14/2020	"29,861.55"
12/11/2020	"30,046.37"
12/10/2020	"29,999.26"
12/9/2020	"30,068.81"
12/8/2020	"30,173.88"
12/7/2020	"30,069.79"
12/4/2020	"30,218.26"
12/3/2020	"29,969.52"
12/2/2020	"29,883.79"
12/1/2020	"29,823.92"
11/30/2020	"29,638.64"
11/27/2020	"29,910.37"
11/25/2020	"29,872.47"
11/24/2020	"30,046.24"
11/23/2020	"29,591.27"
11/20/2020	"29,263.48"
11/19/2020	"29,483.23"
11/18/2020	"29,438.42"
11/17/2020	"29,783.35"
11/16/2020	"29,950.44"
11/13/2020	"29,479.81"
11/12/2020	"29,080.17"
11/11/2020	"29,397.63"
11/10/2020	"29,420.92"
11/9/2020	"29,157.97"
11/6/2020	"28,323.40"
11/5/2020	"28,390.18"
11/4/2020	"27,847.66"
11/3/2020	"27,480.03"
11/2/2020	"26,925.05"
10/30/2020	"26,501.60"
10/29/2020	"26,659.11"
10/28/2020	"26,519.95"
10/27/2020	"27,463.19"
10/26/2020	"27,685.38"
10/23/2020	"28,335.57"
10/22/2020	"28,363.66"
10/21/2020	"28,210.82"
10/20/2020	"28,308.79"
10/19/2020	"28,195.42"
10/16/2020	"28,606.31"
10/15/2020	"28,494.20"
10/14/2020	"28,514.00"
10/13/2020	"28,679.81"
10/12/2020	"28,837.52"
